song_name,album,year,item_type,source_release
Agent Orange,Music For The Masses,1987,b_side,Strangelove
Pleasure, Little Treasure,Music For The Masses,1987,b_side,Never Let Me Down Again
Route 66,Music For The Masses,1987,b_side,Behind The Wheel
Stjarna,Music For The Masses,1988,b_side,Little 15
Dangerous,Violator,1989,b_side,Personal Jesus
Kaleid,Violator,1990,b_side,Policy Of Truth
Happiest Girl,Violator,1990,b_side,World In My Eyes
Sea Of Sin,Violator,1990,b_side,World In My Eyes
My Joy,Songs Of Faith And Devotion,1993,extra_track,MODE
Death's Door,Songs Of Faith And Devotion,1993,b_side,Condemnation
Sibeling,Songs Of Faith And Devotion,1993,extra_track,MODE
Painkiller,Ultra,1997,b_side,Barrel Of A Gun
Slowblow,Ultra,1997,b_side,It's No Good
Surrender,Non-album,1998,b_side,Only When I Lose Myself
Headstar,Non-album,1998,b_side,Only When I Lose Myself
Easy Tiger,Exciter,2001,extra_track,MODE
Dirt,Exciter,2001,b_side,I Feel Loved
Zenstation,Exciter,2001,b_side,Freelove
Free,Exciter,2001,b_side,Dream On
Newborn,Playing The Angel,2005,extra_track,MODE
Better Days,Playing The Angel,2005,extra_track,MODE
Oh Well,Sounds Of The Universe,2009,extra_track,MODE
Light,Sounds Of The Universe,2009,extra_track,MODE
The Sun And The Moon And The Stars,Sounds Of The Universe,2009,extra_track,MODE
Ghost,Sounds Of The Universe,2009,extra_track,MODE
Esque,Sounds Of The Universe,2009,extra_track,MODE
Long Time Lie,Delta Machine,2013,extra_track,MODE
Happens All The Time,Delta Machine,2013,extra_track,MODE
Always,Delta Machine,2013,extra_track,MODE
All That's Mine,Delta Machine,2013,extra_track,MODE
